Buch;Code
Natur und Technik 5 Biologie ;abcd
Deutschbuch 5;abcd
Green Line 1;abcd1
Abenteuer Ethik 5;abcd12
Natur und Technik 5 Biologie ;abcd127
Deutschbuch 5;abcd12732
Green Line 1;abcd12732157
Abenteuer Ethik 5;abcd12732157782
Natur und Technik 5 Biologie ;abcd127321577823907
Deutschbuch 5;abcd12732157782390719532
Green Line 1;abcd1273215778239071953297657
Abenteuer Ethik 5;abcd1273215778239071953297657488282
Natur und Technik 5 Biologie ;12345
Deutschbuch 5;12346
Green Line 1;12347
Abenteuer Ethik 5;12348
Natur und Technik 5 Biologie ;9999999
Deutschbuch 5;99999999
Green Line 1;"#+??!"")"
Abenteuer Ethik 5;~´2870234^
